sub-	亜	ア, つ-ぐ	под-
pathetic	哀	アイ, あわ-れ, あわ-れむ, かな-しい	печаль
push open	挨	アイ	приветствие
love	愛	アイ, いと-しい, め-でる, お-しむ, まな	любовь
not clear	曖	アイ	двусмысленный
bad	悪	アク, オ, わる-い, わる-, あ-し, にく-い, にく-む	плохой
grip	握	アク、にぎ-る	держать
pressure	圧	アツ, お-す, へ-す	давление
handle	扱	あつか-う, こ-く	обращаться
allocate	宛	エン, あ-てる,  -づつ, あたか-も	адрес
storm	嵐	ラン, あらし	буря
cheap	安	アン, やす-い, やす-まる, やす, やす-らか	дешёвый
plan	案	アン, つくえ	проект
dark	暗	アン、くら-い, くら-む	тёмный
by means of	以	イ, もっ-て	префикс направления
clothes	衣	イ、ころも, きぬ, -ぎ	одежда
rank	位	イ、くらい	ранг
surround	囲	イ、かこ-む、かこ-う	окружать
medicine	医	イ, くすし	врач
reliant	依	イ, エ, よ-る	зависеть
committee	委	イ、ゆだ-ねる	поручать
intimidate	威	イ, おど-す,  おど-かす	авторитет
do	為	イ, ため, な-る, な-す, す-る, たり, つく-る, なり	делать
fear	畏	イ, おそ-れる, かしこ-まる	повиноваться
stomach	胃	イ	желудок
military officer	尉	イ	младший офицер
uncommon	異	イ, こと, こと-なる, け	отличаться
shift	移	イ、うつ-る、うつ-す	перемещаться
wither	萎	イ, な, しお-れる, しな-びる, しぼ-む, な-える	вянуть
admirable	偉	イ、えら-い	великий
chair	椅	イ	стул
samekind	彙	イ	словарь
idea	意	イ	мысль
differ	違	イ, ちが-う, ちが-える, たが-う, たが-える	отличаться
fiber	維	イ	поддержка
consolation	慰	イ、なぐさ-める、なぐさ-む	утешать
bequeath	遺	イ, ユイ, のこ-す	оставлять после себя
horizontal	緯	イ, よこいと, ぬき	широта
range	域	イキ	район
nurture	育	イク、そだ-つ、そだ-てる、はぐく-む	воспитывать
one	一	イチ、イツ、ひと、ひと-つ	один
one (Falsification prevention)	壱	イチ	один
deviate	逸	イツ, そ-れる, そ-らす, はぐ-れる	отклоняться
thorn	茨	（いばら）	терновник
potato	芋	いも	батат
pull	引	イン、ひ-く、ひ-ける	тянуть
mark	印	イン、しるし, しる-す	печать
cause	因	イン, よ-る, ちな-む	причина
